Nama_Pangan;Serat_g;Vitamin_C_mg;Vitamin_A_IU;Jenis;Skor_A;Skor_B;Skor_O;Skor_AB;Target_Pencegahan;Bahasa
Jeruk Keprok;1.8;26.7;681;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Semangka;0.4;8.1;569;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Daun Bit, mentah;4.33;30.0;6326;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Daun Bit, dimasak;2.9;24.9;7654;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Brokoli Rabe, mentah;2.7;20.2;2622;Sayur;1;1;1;1;Diabetes, Kanker;Indonesia
Brokoli Rabe, dimasak;2.8;37.0;4533;Sayur;1;1;1;1;Diabetes, Kanker;Indonesia
Kobis Brussel, mentah;3.8;85.0;754;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kobis Brussel, dimasak;2.6;62.0;775;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Sawi Putih (Pak-choi), mentah;1.0;45.0;4468;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Biasa, mentah;2.3;51.0;126;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Biasa, dimasak;1.9;37.5;80;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Merah, mentah;2.1;57.0;1116;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Merah, dimasak;2.6;34.4;33;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Savoy, mentah;3.1;31.0;1000;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Savoy, dimasak;2.8;17.0;889;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Seledri, mentah;1.6;3.1;449;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Seledri, dimasak;1.6;6.1;521;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Kardun Swiss, mentah;1.6;3.0;6116;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Kardun Swiss, dimasak;2.1;18.0;6124;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Air Taman, mentah;1.1;69.0;6971;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Air Taman, dimasak;0.7;23.0;4649;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Daun Jombang (Dandelion), mentah;3.5;35.0;10161;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Daun Jombang (Dandelion), dimasak;2.9;18.0;6837;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Endive, mentah;3.1;6.5;2167;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Kailan (Kale), mentah;2.0;120.0;15376;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Kailan (Kale), dimasak;2.0;41.0;13621;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Butterhead, mentah;1.1;3.7;3312;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Romaine, mentah;2.1;4.0;8710;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Daun Hijau, mentah;1.3;9.2;7405;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Iceberg, mentah;1.2;2.8;502;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Selada Daun Merah, mentah;0.9;3.7;7492;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Radicchio, mentah;0.9;8.0;27;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Sorrel (Bayam Belanda), mentah;2.9;48.0;4000;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Sorrel (Bayam Belanda), dimasak;2.6;26.3;3474;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Bayam, mentah;2.2;28.1;9377;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Bayam, dimasak;2.4;9.8;10481;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Timun, dengan kulit, mentah;0.5;2.8;105;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Terong, mentah;3.4;2.2;27;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Terong, dimasak;2.5;1.3;37;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Paprika Hijau, mentah;1.7;80.4;370;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Paprika Hijau, dimasak;1.2;74.4;468;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Paprika Merah, mentah;2.1;127.7;3131;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Paprika Merah, dimasak;1.2;171.0;2941;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Paprika Kuning, mentah;0.9;183.5;200;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Labu Kuning, mentah;0.5;9.0;7384;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Labu Kuning, dimasak;1.1;4.7;4992;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Zucchini, dengan kulit, mentah;1.0;17.9;200;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Zucchini, dengan kulit, dimasak;1.0;12.9;1117;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Labu Butternut, mentah;2.0;21.0;10630;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Labu Butternut, dipanggang;3.2;15.1;11155;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Jagung Manis, dimasak;2.4;5.5;263;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Tomat Merah, matang, mentah;1.2;13.7;833;Sayur;-1;-1;0;0;Kardiovaskular;Indonesia
Tomat Merah, matang, direbus;1.7;18.2;666;Sayur;-1;-1;0;0;Kardiovaskular;Indonesia
Artichoke, dimasak;8.6;7.4;13;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Brokoli, mentah;2.6;89.2;623;Sayur;1;1;1;1;Diabetes, Kanker;Indonesia
Brokoli, dimasak;3.3;64.9;1548;Sayur;1;1;1;1;Diabetes, Kanker;Indonesia
Kembang Kol, mentah;2.0;48.2;0;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kembang Kol, dimasak;2.3;44.3;12;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kacang Koro, dimasak;5.4;0.3;15;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Arab (Chickpeas), dimasak;7.6;1.3;27;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Buncis, dimasak;9.4;1.2;3;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Merah (Kidney beans), dimasak;6.4;1.2;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Lentil, dimasak;7.9;1.5;8;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Putih (Navy beans), dimasak;10.5;0.9;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Okra, dimasak;2.5;16.3;283;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Kacang Polong, mentah;5.1;40.0;765;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kacang Polong, dimasak;5.5;14.2;801;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Tanah, panggang kering;8.0;0.0;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Pinto, dimasak;9.0;0.8;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Kedelai, dimasak;6.0;1.7;9;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Asparagus, dimasak;2.0;7.7;1006;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Seledri Kenop (Celeriac), mentah;1.8;8.0;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Seledri Kenop (Celeriac), dimasak;1.2;3.6;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Seledri, mentah;1.6;3.1;449;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Seledri, dimasak;1.6;6.1;521;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Bawang Putih, mentah;2.1;31.2;9;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Adas (Fennel), mentah;3.1;12.0;134;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kolrabi, mentah;3.6;62.0;36;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kolrabi, dimasak;1.1;54.0;35;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Daun Bawang, mentah;1.8;12.0;1667;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Daun Bawang, dimasak;1.0;4.2;812;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Bawang Bombay, mentah;1.7;7.4;2;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Bawang Bombay, dimasak;1.4;5.2;2;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Daun Bawang Muda, mentah;2.6;18.8;997;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Bawang Merah, mentah;0.0;8.0;1190;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Bit (Beetroot), mentah;2.8;4.9;33;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Bit (Beetroot), dimasak;2.0;3.6;35;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Wortel, mentah;2.8;5.9;16706;Sayur;1;1;0;1;Hipertensi, Kesehatan Mata;Indonesia
Wortel, dimasak;3.0;3.6;17033;Sayur;1;1;0;1;Hipertensi, Kesehatan Mata;Indonesia
Jahe, mentah;2.0;5.0;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Parsnip, dimasak;3.6;13.0;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kentang, dimasak tanpa kulit;1.8;7.4;3;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Lobak, mentah;1.6;14.8;7;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Ubi Jalar, dimasak;2.5;12.8;15740;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Lobak Cina (Turnip), mentah;1.8;21.0;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Lobak Cina (Turnip), dimasak;2.0;11.6;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Wasabi, mentah;7.8;41.9;35;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Ubi (Yam), dimasak;3.9;12.1;122;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
