Nama_Pangan;Serat_g;Vitamin_C_mg;Vitamin_A_IU;Jenis;Skor_A;Skor_B;Skor_O;Skor_AB;Target_Pencegahan
Kohlrabi, cooked;1.1;54.0;35;Sayur;1;1;0;1;Imunitas, Detoksifikasi
Leeks, raw;1.8;12.0;1667;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan
Leeks, cooked;1.0;4.2;812;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Onions, raw;1.7;7.4;2;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Onions, cooked;1.4;5.2;2;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Spring onion or scallions, raw;2.6;18.8;997;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Shallots, raw;0.0;8.0;1190;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan
Beetroots or beets, raw;2.8;4.9;33;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Beetroots or beets, cooked;2.0;3.6;35;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Carrots, raw;2.8;5.9;16706;Sayur;1;1;0;1;Hipertensi, Kesehatan Mata
Carrots, cooked;3.0;3.6;17033;Sayur;1;1;0;1;Hipertensi, Kesehatan Mata
Ginger root, raw;2.0;5.0;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Parsnips, cooked;3.6;13.0;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol
Potatoes, cooked without skin;1.8;7.4;3;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Radishes, raw;1.6;14.8;7;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Sweet Potato, cooked;2.5;12.8;15740;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan
Turnips or swede, raw;1.8;21.0;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Turnips or swede, cooked;2.0;11.6;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Wasabi, root, raw;7.8;41.9;35;Sayur;1;1;0;1;Imunitas, Detoksifikasi
Yam, cooked;3.9;12.1;122;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol
