Nama_Pangan;Serat_g;Vitamin_C_mg;Vitamin_A_IU;Jenis;Skor_A;Skor_B;Skor_O;Skor_AB;Target_Pencegahan;Bahasa
Jeruk Keprok;1.8;26.7;681;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Semangka;0.4;8.1;569;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Daun Bit, mentah;4.33;30.0;6326;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Daun Bit, dimasak;2.9;24.9;7654;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Brokoli Rabe, mentah;2.7;20.2;2622;Sayur;1;1;1;1;Diabetes, Kanker;Indonesia
Brokoli Rabe, dimasak;2.8;37.0;4533;Sayur;1;1;1;1;Diabetes, Kanker;Indonesia
Kobis Brussel, mentah;3.8;85.0;754;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kobis Brussel, dimasak;2.6;62.0;775;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Sawi Putih (Pak-choi), mentah;1.0;45.0;4468;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Biasa, mentah;2.3;51.0;126;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Biasa, dimasak;1.9;37.5;80;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Merah, mentah;2.1;57.0;1116;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Merah, dimasak;2.6;34.4;33;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Savoy, mentah;3.1;31.0;1000;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Kubis Savoy, dimasak;2.8;17.0;889;Sayur;-1;-1;-1;-1;Masalah Pencernaan;Indonesia
Seledri, mentah;1.6;3.1;449;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Seledri, dimasak;1.6;6.1;521;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Kardun Swiss, mentah;1.6;3.0;6116;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Kardun Swiss, dimasak;2.1;18.0;6124;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Air Taman, mentah;1.1;69.0;6971;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Air Taman, dimasak;0.7;23.0;4649;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Daun Jombang (Dandelion), mentah;3.5;35.0;10161;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Daun Jombang (Dandelion), dimasak;2.9;18.0;6837;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Endive, mentah;3.1;6.5;2167;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Kailan (Kale), mentah;2.0;120.0;15376;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Kailan (Kale), dimasak;2.0;41.0;13621;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Butterhead, mentah;1.1;3.7;3312;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Romaine, mentah;2.1;4.0;8710;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Daun Hijau, mentah;1.3;9.2;7405;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Selada Iceberg, mentah;1.2;2.8;502;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Selada Daun Merah, mentah;0.9;3.7;7492;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Radicchio, mentah;0.9;8.0;27;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Sorrel (Bayam Belanda), mentah;2.9;48.0;4000;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Sorrel (Bayam Belanda), dimasak;2.6;26.3;3474;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Bayam, mentah;2.2;28.1;9377;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Bayam, dimasak;2.4;9.8;10481;Sayur;1;0;1;1;Kardiovaskular, Anemia;Indonesia
Timun, dengan kulit, mentah;0.5;2.8;105;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Terong, mentah;3.4;2.2;27;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Terong, dimasak;2.5;1.3;37;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Paprika Hijau, mentah;1.7;80.4;370;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Paprika Hijau, dimasak;1.2;74.4;468;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Paprika Merah, mentah;2.1;127.7;3131;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Paprika Merah, dimasak;1.2;171.0;2941;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Paprika Kuning, mentah;0.9;183.5;200;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Labu Kuning, mentah;0.5;9.0;7384;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Labu Kuning, dimasak;1.1;4.7;4992;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Zucchini, dengan kulit, mentah;1.0;17.9;200;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Zucchini, dengan kulit, dimasak;1.0;12.9;1117;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Labu Butternut, mentah;2.0;21.0;10630;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Labu Butternut, dipanggang;3.2;15.1;11155;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Jagung Manis, dimasak;2.4;5.5;263;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Tomat Merah, matang, mentah;1.2;13.7;833;Sayur;-1;-1;0;0;Kardiovaskular;Indonesia
Tomat Merah, matang, direbus;1.7;18.2;666;Sayur;-1;-1;0;0;Kardiovaskular;Indonesia
Artichoke, dimasak;8.6;7.4;13;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Brokoli, mentah;2.6;89.2;623;Sayur;1;1;1;1;Diabetes, Kanker;Indonesia
Brokoli, dimasak;3.3;64.9;1548;Sayur;1;1;1;1;Diabetes, Kanker;Indonesia
Kembang Kol, mentah;2.0;48.2;0;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kembang Kol, dimasak;2.3;44.3;12;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kacang Koro, dimasak;5.4;0.3;15;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Arab (Chickpeas), dimasak;7.6;1.3;27;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Buncis, dimasak;9.4;1.2;3;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Merah (Kidney beans), dimasak;6.4;1.2;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Lentil, dimasak;7.9;1.5;8;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Putih (Navy beans), dimasak;10.5;0.9;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Okra, dimasak;2.5;16.3;283;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Kacang Polong, mentah;5.1;40.0;765;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kacang Polong, dimasak;5.5;14.2;801;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Tanah, panggang kering;8.0;0.0;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Pinto, dimasak;9.0;0.8;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kacang Kedelai, dimasak;6.0;1.7;9;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Asparagus, dimasak;2.0;7.7;1006;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Seledri Kenop (Celeriac), mentah;1.8;8.0;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Seledri Kenop (Celeriac), dimasak;1.2;3.6;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Seledri, mentah;1.6;3.1;449;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Seledri, dimasak;1.6;6.1;521;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Bawang Putih, mentah;2.1;31.2;9;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Adas (Fennel), mentah;3.1;12.0;134;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kolrabi, mentah;3.6;62.0;36;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Kolrabi, dimasak;1.1;54.0;35;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Daun Bawang, mentah;1.8;12.0;1667;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Daun Bawang, dimasak;1.0;4.2;812;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Bawang Bombay, mentah;1.7;7.4;2;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Bawang Bombay, dimasak;1.4;5.2;2;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Daun Bawang Muda, mentah;2.6;18.8;997;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Bawang Merah, mentah;0.0;8.0;1190;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Bit (Beetroot), mentah;2.8;4.9;33;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Bit (Beetroot), dimasak;2.0;3.6;35;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Wortel, mentah;2.8;5.9;16706;Sayur;1;1;0;1;Hipertensi, Kesehatan Mata;Indonesia
Wortel, dimasak;3.0;3.6;17033;Sayur;1;1;0;1;Hipertensi, Kesehatan Mata;Indonesia
Jahe, mentah;2.0;5.0;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Parsnip, dimasak;3.6;13.0;0;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Kentang, dimasak tanpa kulit;1.8;7.4;3;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Lobak, mentah;1.6;14.8;7;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Ubi Jalar, dimasak;2.5;12.8;15740;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;Indonesia
Lobak Cina (Turnip), mentah;1.8;21.0;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Lobak Cina (Turnip), dimasak;2.0;11.6;0;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;Indonesia
Wasabi, mentah;7.8;41.9;35;Sayur;1;1;0;1;Imunitas, Detoksifikasi;Indonesia
Ubi (Yam), dimasak;3.9;12.1;122;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;Indonesia
Apple  ;1.3;4.0;38;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Apricot  ;2.0;10.0;1926;Buah;1;1;0;1;Kesehatan Mata, Antioksidan;English
Avocado ;6.7;10.0;146;Buah;0;0;1;0;Kardiovaskular, Kolesterol;English
Banana  ;2.6;8.7;64;Buah;0;1;1;1;Masalah Pencernaan, Energi;English
Blackberries ;5.3;21.0;214;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Blueberry  ;2.4;9.7;54;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Carambola or Starfruit;2.8;34.4;61;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Cherimoya fruit ;3.0;12.6;5;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Cherry fruit  ;2.1;7.0;64;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Clementine;1.7;48.8;0;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Cranberries;4.6;13.3;60;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Currants Black;0.0;181.0;230;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Currants, Red and White;4.3;41.0;42;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Dates, deglet noor;8.0;0.4;10;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Dates, medjool;6.7;0.0;149;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Durian ;3.8;19.7;44;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Figs, raw;2.9;2.0;142;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Grapefruit, pink and red;1.6;31.2;1150;Buah;1;1;0;1;Kesehatan Mata, Antioksidan;English
Grapefruit, white;1.1;33.3;33;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Grapes, red or green;0.9;10.8;66;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Groundcherries or Cape Gooseberries;0.0;11.0;720;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Guava  ;5.4;228.3;624;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Gooseberries;4.3;27.7;290;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Jackfruit ;1.6;6.7;297;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Kiwifruit, gold;2.0;105.4;72;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Kiwifruit, green;3.0;92.7;87;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Kumquat ;6.5;43.9;290;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Lemon with peel;4.7;77.0;30;Buah;-1;1;-1;0;Imunitas, Vitamin C;English
Lime ;2.8;29.1;50;Buah;-1;1;-1;0;Imunitas, Vitamin C;English
Litchis or Lychees ;1.3;71.5;0;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Mandarin-Clementine ;1.7;48.8;0;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Mandarin-Tangerine ;1.8;26.7;681;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Mango  ;1.8;27.7;765;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Melons, cantaloupe;0.9;36.7;3382;Buah;1;1;0;1;Kesehatan Mata, Antioksidan;English
Melons, casaba;0.9;21.8;0;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Melons, honeydew;0.8;18.0;50;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Mulberries, raw;1.7;36.4;25;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Nectarine ;1.7;5.4;332;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Oranges  ;2.4;53.2;225;Buah;-1;1;-1;0;Imunitas, Vitamin C;English
Papaya ;1.8;61.8;1094;Buah;1;1;0;1;Kesehatan Mata, Antioksidan;English
Passion fruit ;10.4;30.0;1272;Buah;1;1;0;1;Kesehatan Mata, Antioksidan;English
Peaches ;1.5;6.6;326;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Pear ;3.1;4.2;23;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Persimmons, native;0.0;66.0;0;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Pineapple ;1.4;47.8;58;Buah;1;0;-1;1;Pencernaan, Anti-inflamasi;English
Plum ;1.4;9.5;345;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Pomegranate  ;4.0;10.2;0;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Quince fruit;1.9;15.0;40;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Raspberry ;6.5;26.2;33;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Strawberry  ;2.0;58.8;12;Buah;1;1;0;1;Imunitas, Detoksifikasi;English
Tangerine ;1.8;26.7;681;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Watermelon  ;0.4;8.1;569;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Beet greens, raw;4.33;30.0;6326;Sayur;1;0;1;1;Kardiovaskular, Anemia;English
Beet greens, cooked;2.9;24.9;7654;Sayur;1;0;1;1;Kardiovaskular, Anemia;English
Broccoli raab or Broccoli rabe, raw;2.7;20.2;2622;Sayur;1;1;1;1;Diabetes, Kanker;English
Broccoli raab or Broccoli rabe, cooked;2.8;37.0;4533;Sayur;1;1;1;1;Diabetes, Kanker;English
Brussels Sprouts, raw;3.8;85.0;754;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Brussels Sprouts, cooked;2.6;62.0;775;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Cabbage, chinese or pak-choi, raw;1.0;45.0;4468;Sayur;-1;-1;-1;-1;Masalah Pencernaan;English
Cabbage, common, raw;2.3;51.0;126;Sayur;-1;-1;-1;-1;Masalah Pencernaan;English
Cabbage, common, cooked;1.9;37.5;80;Sayur;-1;-1;-1;-1;Masalah Pencernaan;English
Cabbage, red, raw;2.1;57.0;1116;Sayur;-1;-1;-1;-1;Masalah Pencernaan;English
Cabbage, red, cooked;2.6;34.4;33;Sayur;-1;-1;-1;-1;Masalah Pencernaan;English
Cabbage, savoy, raw;3.1;31.0;1000;Sayur;-1;-1;-1;-1;Masalah Pencernaan;English
Cabbage, savoy, cooked;2.8;17.0;889;Sayur;-1;-1;-1;-1;Masalah Pencernaan;English
Celery, raw;1.6;3.1;449;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Celery, cooked;1.6;6.1;521;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Chard, swiss, raw;1.6;3.0;6116;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Chard, swiss, cooked;2.1;18.0;6124;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Cress, garden, raw;1.1;69.0;6971;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Cress, garden, cooked;0.7;23.0;4649;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Dandelion greens, raw;3.5;35.0;10161;Sayur;1;0;1;1;Kardiovaskular, Anemia;English
Dandelion greens, cooked;2.9;18.0;6837;Sayur;1;0;1;1;Kardiovaskular, Anemia;English
Endive, raw;3.1;6.5;2167;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Kale, raw;2.0;120.0;15376;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Kale, cooked;2.0;41.0;13621;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Lettuce, butterhead, raw;1.1;3.7;3312;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Lettuce, cos or romaine, raw;2.1;4.0;8710;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Lettuce, green leaf, raw;1.3;9.2;7405;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Lettuce, iceberg (includes crisphead types), raw;1.2;2.8;502;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Lettuce, red leaf, raw;0.9;3.7;7492;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Radicchio, raw;0.9;8.0;27;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Sorrel or spinach dock, raw;2.9;48.0;4000;Sayur;1;0;1;1;Kardiovaskular, Anemia;English
Sorrel or spinach dock, cooked;2.6;26.3;3474;Sayur;1;0;1;1;Kardiovaskular, Anemia;English
Spinach, raw;2.2;28.1;9377;Sayur;1;0;1;1;Kardiovaskular, Anemia;English
Spinach, cooked;2.4;9.8;10481;Sayur;1;0;1;1;Kardiovaskular, Anemia;English
Cucumber, with peel, raw;0.5;2.8;105;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Eggplant or Aubergine, raw;3.4;2.2;27;Sayur;1;0;1;0;Pencernaan, Manajemen Kolesterol;English
Eggplant or Aubergine, cooked;2.5;1.3;37;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Peppers, sweet, green, raw;1.7;80.4;370;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Peppers, sweet, green, cooked;1.2;74.4;468;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Peppers, sweet, red, raw;2.1;127.7;3131;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Peppers, sweet, red, cooked;1.2;171.0;2941;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Peppers, sweet, yellow, raw;0.9;183.5;200;Sayur;1;1;0;1;Imunitas, Detoksifikasi;English
Pumpkin, raw;0.5;9.0;7384;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Pumpkin, cooked;1.1;4.7;4992;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Squash, summer, zucchini or courgette, includes skin, raw;1.0;17.9;200;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Squash, summer, zucchini or courgette, includes skin, cooked;1.0;12.9;1117;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Squash, winter, butternut, raw;2.0;21.0;10630;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Squash, winter, butternut, baked;3.2;15.1;11155;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan;English
Sweet corn, cooked;2.4;5.5;263;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar;English
Tomatoes, red, ripe, raw;1.2;13.7;833;Sayur;-1;-1;0;0;Kardiovaskular;English
